# Message Type: pain.001.001.09
# Message Name: CustomerCreditTransferInitiation
# Business Area: Payment Initiation
# Total Fields: 87
# Mandatory Fields: 23
# Optional Fields: 64
# Extraction Date: 2025-12-16
#
FieldName,Path,Multiplicity,Constraints,Definition
MessageIdentification,Document/CstmrCdtTrfInitn/GrpHdr/MsgId,1..1,"MaxLength: 35; Pattern: [A-Za-z0-9/\-\?:().,'+ ]{1,35}","Point to point reference assigned by the instructing party and sent to the next party in the chain to unambiguously identify the message."
CreationDateTime,Document/CstmrCdtTrfInitn/GrpHdr/CreDtTm,1..1,"Format: ISODateTime","Date and time at which the message was created."
NumberOfTransactions,Document/CstmrCdtTrfInitn/GrpHdr/NbOfTxs,1..1,"MaxLength: 15; Pattern: [0-9]{1,15}","Number of individual transactions contained in the message."
ControlSum,Document/CstmrCdtTrfInitn/GrpHdr/CtrlSum,0..1,"TotalDigits: 18; FractionDigits: 5","Total of all individual amounts included in the message, irrespective of currencies."
InitiatingParty,Document/CstmrCdtTrfInitn/GrpHdr/InitgPty,1..1,"Type: PartyIdentification135","Party that initiates the payment. Usage: In the payment context, this can be either the debtor (in a credit transfer), the creditor (in a direct debit), or the party that instructs the bulk payment."
PaymentInformationIdentification,Document/CstmrCdtTrfInitn/PmtInf/PmtInfId,1..1,"MaxLength: 35","Unique identification, as assigned by a sending party, to unambiguously identify the payment information group within the message."
PaymentMethod,Document/CstmrCdtTrfInitn/PmtInf/PmtMtd,1..1,"Codes: TRF, TRA, CHK","Specifies the means of payment that will be used to move the amount of money. Only 'TRF' is allowed in this message."
BatchBooking,Document/CstmrCdtTrfInitn/PmtInf/BtchBookg,0..1,"Type: Boolean","Identifies whether a single entry per individual transaction or a batch entry for the sum of the amounts of all transactions within the group of a message is requested. Usage: Batch booking is used to request and not to order a batch booking."
NumberOfTransactions,Document/CstmrCdtTrfInitn/PmtInf/NbOfTxs,0..1,"MaxLength: 15; Pattern: [0-9]{1,15}","Number of individual transactions contained in the payment information group."
ControlSum,Document/CstmrCdtTrfInitn/PmtInf/CtrlSum,0..1,"TotalDigits: 18; FractionDigits: 5","Total of all individual amounts included in the payment information group, irrespective of currencies."
PaymentTypeInformation,Document/CstmrCdtTrfInitn/PmtInf/PmtTpInf,0..1,"Type: PaymentTypeInformation26","Set of elements used to further specify the type of transaction."
RequestedExecutionDate,Document/CstmrCdtTrfInitn/PmtInf/ReqdExctnDt,1..1,"Format: ISODate (YYYY-MM-DD)","Date at which the initiating party requests the clearing agent to process the payment. Usage: This is the date on which the debtor's account is to be debited."
Debtor,Document/CstmrCdtTrfInitn/PmtInf/Dbtr,1..1,"Type: PartyIdentification135","Party that owes an amount of money to the (ultimate) creditor."
DebtorAccount,Document/CstmrCdtTrfInitn/PmtInf/DbtrAcct,1..1,"Type: CashAccount38","Unambiguous identification of the account of the debtor to which a debit entry will be made as a result of the transaction."
DebtorAgent,Document/CstmrCdtTrfInitn/PmtInf/DbtrAgt,1..1,"Type: BranchAndFinancialInstitutionIdentification6","Financial institution servicing an account for the debtor."
DebtorAgentAccount,Document/CstmrCdtTrfInitn/PmtInf/DbtrAgtAcct,0..1,"Type: CashAccount38","Unambiguous identification of the account of the debtor agent at its servicing agent in the payment chain."
UltimateDebtor,Document/CstmrCdtTrfInitn/PmtInf/UltmtDbtr,0..1,"Type: PartyIdentification135","Ultimate party that owes an amount of money to the (ultimate) creditor."
ChargeBearer,Document/CstmrCdtTrfInitn/PmtInf/ChrgBr,0..1,"Codes: DEBT, CRED, SHAR, SLEV","Specifies which party/parties will bear the charges associated with the processing of the payment transaction."
PaymentIdentification,Document/CstmrCdtTrfInitn/PmtInf/CdtTrfTxInf/PmtId,1..1,"Type: PaymentIdentification6","Set of elements used to reference a payment instruction."
InstructionIdentification,Document/CstmrCdtTrfInitn/PmtInf/CdtTrfTxInf/PmtId/InstrId,0..1,"MaxLength: 35","Unique identification as assigned by an instructing party for an instructed party to unambiguously identify the instruction."
EndToEndIdentification,Document/CstmrCdtTrfInitn/PmtInf/CdtTrfTxInf/PmtId/EndToEndId,1..1,"MaxLength: 35","Unique identification assigned by the initiating party to unambiguously identify the transaction. This identification is passed on, unchanged, throughout the entire end-to-end chain."
Amount,Document/CstmrCdtTrfInitn/PmtInf/CdtTrfTxInf/Amt,1..1,"Type: AmountType4Choice","Amount of money to be moved between the debtor and creditor, before deduction of charges, expressed in the currency as ordered by the initiating party."
InstructedAmount,Document/CstmrCdtTrfInitn/PmtInf/CdtTrfTxInf/Amt/InstdAmt,1..1,"TotalDigits: 18; FractionDigits: 5; Type: ActiveOrHistoricCurrencyAndAmount","Amount of money to be moved between debtor and creditor, expressed in the currency of the debtor's account, and to be moved in a different currency."
EquivalentAmount,Document/CstmrCdtTrfInitn/PmtInf/CdtTrfTxInf/Amt/EqvtAmt,0..1,"Type: EquivalentAmount2","Amount of money to be moved between debtor and creditor, before deduction of charges, expressed in the currency of the debtor's account, and the currency in which the amount is to be moved."
ChargeBearer,Document/CstmrCdtTrfInitn/PmtInf/CdtTrfTxInf/ChrgBr,0..1,"Codes: DEBT, CRED, SHAR, SLEV","Specifies which party/parties will bear the charges associated with the processing of the payment transaction."
UltimateDebtor,Document/CstmrCdtTrfInitn/PmtInf/CdtTrfTxInf/UltmtDbtr,0..1,"Type: PartyIdentification135","Ultimate party that owes an amount of money to the (ultimate) creditor. Only to be used if different from the debtor."
IntermediaryAgent1,Document/CstmrCdtTrfInitn/PmtInf/CdtTrfTxInf/IntrmyAgt1,0..1,"Type: BranchAndFinancialInstitutionIdentification6","Agent between the debtor's agent and the creditor's agent."
IntermediaryAgent1Account,Document/CstmrCdtTrfInitn/PmtInf/CdtTrfTxInf/IntrmyAgt1Acct,0..1,"Type: CashAccount38","Unambiguous identification of the account of the intermediary agent 1 at its servicing agent in the payment chain."
IntermediaryAgent2,Document/CstmrCdtTrfInitn/PmtInf/CdtTrfTxInf/IntrmyAgt2,0..1,"Type: BranchAndFinancialInstitutionIdentification6","Agent between the debtor's agent and the creditor's agent."
IntermediaryAgent2Account,Document/CstmrCdtTrfInitn/PmtInf/CdtTrfTxInf/IntrmyAgt2Acct,0..1,"Type: CashAccount38","Unambiguous identification of the account of the intermediary agent 2 at its servicing agent in the payment chain."
